Tree_ID,Latitude,Longitude,Species,Height_m,Canopy_Width_m,Canopy_Condition,Disease_Symptom,Leaf_Color_Deviation,Bark_Damage_Score,Root_Exposure,Soil_Moisture_%,Ambient_Temperature_C,Humidity_%,CO2_ppm,PM2.5_ug_m3,NO2_ppb,O3_ppb,Air_Quality_Index,Urban_Zone,Year_Planted,Recent_Pruning_Year,Tree_Crown_Diameter_m,Crown_Density_%,Proximity_to_Road_m
TREE_00866,37.56209609837229,-122.29341374139614,Elm,12.93,5.29,None,Insect Infestation,0.86,4,1,15.58,22.5,66.5,277.6,11.3,13.1,34.6,Very Unhealthy,Zone B,1968,2014.0,5.05,68.1,1.7
TREE_00867,37.57277125219811,-122.16208853744796,Birch,6.6,7.51,Partial,None,0.48,10,0,25.77,23.1,42.6,420.5,14.3,13.8,16.5,Very Unhealthy,Zone A,2011,2018.0,5.41,99.0,70.1
TREE_00868,37.8447142484054,-122.17092008785121,Elm,6.7,2.65,Partial,Bacterial Wilt,0.84,3,0,14.91,21.2,81.0,477.4,12.1,26.0,26.9,Very Unhealthy,Zone A,1955,,3.91,20.7,45.55
TREE_00869,37.87844618485345,-122.46494593017937,Cedar,12.06,4.1,Sparse,None,0.32,1,0,25.03,25.3,62.9,385.8,10.8,5.7,37.0,Very Unhealthy,Zone D,1956,2018.0,2.67,75.0,15.57
TREE_00870,37.6493237265119,-122.30237034228442,Pine,9.73,6.23,Full,None,0.34,8,0,24.96,22.6,74.0,476.9,19.8,3.1,17.2,Good,Zone C,1962,2008.0,4.75,15.0,97.25
TREE_00871,37.60829786925742,-122.40911056639132,Elm,8.64,5.5,Full,Fungal Infection,0.75,9,1,29.2,34.4,70.4,415.8,15.0,3.3,25.2,Very Unhealthy,Zone C,1995,2006.0,2.09,42.2,94.24
TREE_00872,37.757599817295606,-122.4215936473416,Birch,12.67,5.27,Sparse,Bacterial Wilt,0.78,9,0,7.98,31.1,50.8,404.0,12.2,25.3,16.9,Moderate,Zone B,1982,2013.0,3.43,40.9,15.87
TREE_00873,37.66349366843924,-122.08634892513138,Willow,8.18,3.57,Sparse,Root Rot,0.23,9,1,22.31,33.6,75.5,413.3,6.4,14.2,25.0,Unhealthy for Sensitive Groups,Zone E,1990,,4.23,33.1,70.72
TREE_00874,37.51015454226414,-122.47904239164187,Oak,9.4,4.11,Full,Root Rot,0.97,9,0,6.87,26.1,80.6,323.9,12.6,13.8,49.9,Unhealthy for Sensitive Groups,Zone A,2022,2021.0,3.97,57.9,51.75
TREE_00875,37.56246103894647,-122.29040856204894,Maple,14.2,6.87,Partial,None,0.08,2,0,10.28,28.6,74.6,483.6,7.7,37.4,46.2,Moderate,Zone D,2018,,6.68,31.9,28.93
TREE_00876,37.786388891538955,-122.41589817211674,Pine,14.62,4.92,Full,Root Rot,0.07,10,0,14.77,18.3,76.6,375.1,3.7,24.4,31.6,Good,Zone E,1978,2019.0,4.52,43.1,68.44
TREE_00877,37.76356957676406,-122.06033489216077,Birch,14.72,5.56,None,None,0.6,10,0,26.22,30.1,51.6,340.1,10.0,12.7,45.6,Good,Zone E,1956,2022.0,4.6,87.4,44.78
TREE_00878,37.51083839700139,-122.22147974336248,Redwood,9.15,4.83,None,None,0.72,2,0,34.22,19.7,86.6,373.3,10.3,6.1,36.7,Unhealthy for Sensitive Groups,Zone C,2003,,4.42,39.1,89.85
TREE_00879,37.58878886477318,-122.38430968181157,Cedar,13.69,3.23,Sparse,Fungal Infection,0.96,2,0,15.28,17.9,55.5,401.2,17.1,38.8,27.5,Unhealthy,Zone A,1960,,3.92,98.7,70.36
TREE_00880,37.592429918635226,-122.24878635641682,Cedar,7.15,6.4,Full,None,0.4,7,1,20.63,15.8,83.8,456.5,16.9,22.4,17.7,Moderate,Zone B,1991,,4.57,34.8,50.76
TREE_00881,37.76875709743949,-122.13425682014844,Cedar,7.28,5.75,Full,Fungal Infection,0.03,5,0,12.77,24.4,81.5,396.2,15.3,15.6,26.5,Moderate,Zone D,1954,,4.11,91.3,45.19
TREE_00882,37.50788421510175,-122.02094099554029,Redwood,2.95,8.46,None,None,0.6,0,0,25.26,20.7,37.5,383.9,11.6,22.0,27.1,Unhealthy for Sensitive Groups,Zone A,1996,2022.0,3.2,48.8,3.16
TREE_00883,37.541643432793826,-122.38977699787729,Redwood,15.02,3.48,Full,Root Rot,0.29,2,0,16.0,34.7,88.0,384.7,11.6,15.8,26.1,Very Unhealthy,Zone E,1951,,5.91,91.7,16.09
TREE_00884,37.81996643414927,-122.05690911393533,Pine,7.41,6.23,Sparse,None,0.43,3,0,19.45,20.0,89.8,332.2,14.8,25.1,28.9,Unhealthy,Zone E,1992,,3.76,48.4,4.51
TREE_00885,37.57141786482173,-122.03284794291625,Elm,9.62,3.03,Sparse,None,0.49,1,0,22.03,32.3,66.4,373.7,15.2,3.0,19.6,Good,Zone B,1953,2008.0,2.12,79.3,6.34
TREE_00886,37.761098443140746,-122.04178972773397,Pine,7.27,5.24,None,Root Rot,0.06,5,1,25.59,21.3,77.0,370.5,13.8,16.0,17.1,Good,Zone C,2012,2020.0,1.51,46.0,6.71
TREE_00887,37.59527311241869,-122.18229282156905,Cedar,12.09,6.46,Full,None,0.49,9,0,6.8,30.0,86.0,412.5,14.5,9.4,16.4,Good,Zone B,2008,,3.35,65.9,1.41
TREE_00888,37.539776557103735,-122.18508967278265,Willow,8.87,1.89,Full,Fungal Infection,0.43,0,0,21.65,28.2,31.2,313.9,11.7,19.2,34.5,Good,Zone B,1979,,4.33,14.6,79.13
TREE_00889,37.59726887639978,-122.29839468340809,Birch,6.09,4.69,None,Insect Infestation,0.71,0,0,17.93,26.2,85.8,377.9,10.6,10.4,20.4,Moderate,Zone A,1951,,4.4,63.9,47.86
TREE_00890,37.788906772742266,-122.1238010588481,Maple,11.32,4.16,Partial,Fungal Infection,0.65,7,1,9.01,23.3,67.6,465.4,0.9,14.0,32.1,Moderate,Zone C,1992,,1.4,38.4,74.91
TREE_00891,37.84227858724251,-122.23435299082453,Maple,5.7,3.95,Partial,Insect Infestation,0.19,3,0,11.24,28.4,79.7,421.0,10.3,14.5,30.5,Very Unhealthy,Zone E,1967,,5.59,99.7,16.77
TREE_00892,37.83208794582679,-122.16128096438585,Pine,7.49,5.58,Full,None,0.21,0,1,31.52,23.1,62.4,447.0,8.4,22.6,33.5,Moderate,Zone C,1973,,4.33,83.0,84.12
TREE_00893,37.65887341184738,-122.2857710480756,Cedar,3.68,6.68,Sparse,Bacterial Wilt,0.25,6,0,31.15,26.0,61.8,380.3,12.5,16.2,26.6,Very Unhealthy,Zone A,1986,,4.13,17.2,9.41
TREE_00894,37.767234054628254,-122.13425176797843,Redwood,5.73,4.8,Partial,None,0.18,8,0,6.0,26.8,83.9,483.3,8.6,9.9,19.1,Very Unhealthy,Zone A,1979,2015.0,4.98,27.8,32.21
TREE_00895,37.58199371816633,-122.08776424119773,Oak,10.54,5.31,Full,None,0.66,9,0,25.68,20.3,60.4,439.8,12.7,24.1,47.3,Good,Zone B,2018,,4.82,65.4,37.07
TREE_00896,37.617259092104405,-122.4267818716986,Willow,4.11,5.17,Partial,None,0.99,6,0,21.63,21.8,58.3,403.4,2.7,40.9,23.0,Good,Zone A,2008,,5.22,37.0,23.57
TREE_00897,37.85853432740845,-122.08353514221288,Pine,5.56,5.0,None,Fungal Infection,0.65,0,0,33.19,15.4,66.5,432.3,7.2,16.4,49.3,Moderate,Zone C,1972,2002.0,3.14,29.2,13.73
TREE_00898,37.5052007694043,-122.22985173410484,Cedar,9.99,3.37,Partial,Insect Infestation,0.61,0,0,32.24,32.0,61.1,338.2,8.4,33.0,16.6,Moderate,Zone B,1979,2005.0,4.74,42.0,62.81
TREE_00899,37.53420341234179,-122.07766704545489,Elm,8.37,6.66,Partial,Root Rot,0.41,0,0,22.39,30.1,56.8,337.2,6.8,4.5,19.9,Very Unhealthy,Zone B,2017,,5.26,19.6,0.85
TREE_00900,37.58315450205841,-122.2843491468295,Maple,15.98,5.44,None,Insect Infestation,0.31,7,1,9.17,18.7,40.8,440.4,27.6,12.4,12.0,Unhealthy for Sensitive Groups,Zone B,1990,,4.11,59.9,79.16
TREE_00901,37.51061288154953,-122.31047975730849,Maple,15.5,5.59,Sparse,Fungal Infection,0.91,6,0,18.79,22.2,53.8,456.7,1.9,33.0,30.8,Good,Zone C,2000,,3.69,35.5,4.23
TREE_00902,37.57257417403592,-122.04246963374139,Willow,7.4,3.79,Full,Root Rot,0.97,2,1,26.75,23.4,46.9,354.0,15.4,22.2,36.5,Unhealthy,Zone B,2016,,4.21,88.0,96.4
TREE_00903,37.73321662438788,-122.3744153662258,Maple,11.67,4.31,Sparse,None,0.5,2,0,33.55,21.7,54.0,442.7,17.0,12.8,15.3,Unhealthy for Sensitive Groups,Zone D,1964,2015.0,4.76,12.9,86.83
TREE_00904,37.668569820236996,-122.07789383735692,Oak,12.25,4.74,Sparse,Fungal Infection,0.29,2,0,15.91,31.0,65.6,426.7,9.8,28.4,30.3,Good,Zone D,2005,,5.14,41.6,41.46
TREE_00905,37.857068684430786,-122.2579897137453,Cedar,8.21,2.7,Partial,Fungal Infection,0.77,1,1,28.54,29.5,66.5,360.3,13.7,9.6,25.9,Good,Zone C,2014,,1.61,59.5,14.27
TREE_00906,37.82697742469538,-122.24295227872437,Cedar,5.51,2.47,Full,None,0.13,3,0,25.5,30.3,44.3,350.3,15.1,20.7,9.2,Moderate,Zone E,2004,2014.0,3.99,31.2,87.06
TREE_00907,37.63672694067915,-122.34576585925525,Willow,9.96,4.1,Partial,Bacterial Wilt,0.77,6,0,7.35,33.1,35.1,363.9,12.7,29.4,29.0,Unhealthy,Zone E,2014,2001.0,4.27,15.2,64.41
TREE_00908,37.603769373372515,-122.21347889969049,Cedar,9.48,5.78,None,None,0.82,8,0,21.74,26.9,74.7,375.6,3.2,23.6,39.2,Unhealthy,Zone B,1951,,3.87,16.5,50.48
TREE_00909,37.65187696326691,-122.3373944018619,Redwood,8.69,4.02,Sparse,Fungal Infection,0.12,2,1,10.51,27.3,61.7,380.2,14.0,45.1,44.7,Good,Zone C,1960,,4.12,24.3,31.94
TREE_00910,37.736117977005925,-122.48036529287917,Willow,11.33,3.47,Sparse,Insect Infestation,0.98,9,0,25.51,29.4,56.5,320.4,16.9,14.4,13.3,Very Unhealthy,Zone B,1991,2022.0,3.83,34.5,56.13
TREE_00911,37.60722545632915,-122.36400069732782,Cedar,7.75,3.78,None,Root Rot,0.99,6,0,23.3,28.6,37.8,375.6,22.3,26.9,40.2,Unhealthy,Zone B,1952,,3.3,73.5,41.51
TREE_00912,37.74965956313965,-122.49681047829671,Oak,6.54,4.32,Full,Bacterial Wilt,0.94,3,0,34.19,32.4,54.9,415.9,5.1,28.8,38.0,Unhealthy for Sensitive Groups,Zone D,1990,2001.0,3.52,52.7,46.54
TREE_00913,37.663764660876495,-122.01082260647158,Birch,10.33,4.47,Sparse,Fungal Infection,0.5,0,0,33.06,30.4,79.1,433.1,11.1,17.8,26.3,Very Unhealthy,Zone A,1998,2005.0,2.97,13.0,84.55
TREE_00914,37.72081887234079,-122.01712639509013,Pine,11.16,8.25,Sparse,Fungal Infection,0.25,4,1,5.28,17.4,64.9,370.5,11.9,10.7,12.8,Moderate,Zone C,1986,,3.47,24.0,95.25
TREE_00915,37.67445061165412,-122.30242235126384,Pine,6.47,6.58,Full,None,0.58,7,0,7.4,33.6,35.5,474.7,11.5,31.6,33.3,Good,Zone A,1956,2018.0,6.1,43.1,96.27
TREE_00916,37.617786303816764,-122.13581457283017,Cedar,12.78,6.54,Partial,None,0.42,2,0,28.07,28.7,49.9,401.0,3.6,14.9,13.0,Good,Zone D,1987,2008.0,4.85,47.8,90.79
TREE_00917,37.87938132278486,-122.32709695079478,Elm,4.69,6.75,None,Root Rot,0.21,9,0,25.57,17.5,88.8,526.8,17.5,26.4,33.1,Unhealthy for Sensitive Groups,Zone A,2007,2004.0,3.61,15.7,80.23
TREE_00918,37.8054423176639,-122.16445342145701,Maple,8.27,3.5,Full,Root Rot,0.42,3,0,29.03,30.4,62.7,362.7,17.0,24.3,24.1,Unhealthy for Sensitive Groups,Zone D,1954,,3.42,20.9,45.37
TREE_00919,37.55604527030658,-122.097284978477,Oak,9.23,3.17,None,Bacterial Wilt,0.66,2,0,13.0,22.2,47.2,418.1,13.9,21.3,21.5,Moderate,Zone E,2010,,4.16,33.6,8.82
TREE_00920,37.847387190359164,-122.02662187765388,Elm,8.09,3.34,None,None,0.07,9,0,30.48,31.1,84.8,395.6,9.9,33.5,32.8,Moderate,Zone D,1988,2000.0,3.26,85.3,63.06
TREE_00921,37.69497247929981,-122.29989386207517,Redwood,8.3,7.0,Sparse,Bacterial Wilt,0.33,7,0,18.27,34.1,50.2,366.6,10.9,23.4,53.0,Unhealthy,Zone C,1977,,5.8,28.8,40.2
TREE_00922,37.85782089075764,-122.10835100852198,Elm,15.61,4.18,Full,Root Rot,0.02,9,0,12.86,20.1,73.8,443.1,10.6,26.3,44.6,Very Unhealthy,Zone E,2006,2002.0,4.51,30.4,68.71
TREE_00923,37.819942102378924,-122.36703577468394,Cedar,7.45,3.12,None,None,0.75,7,0,5.32,32.1,38.8,438.1,5.0,24.0,29.9,Good,Zone B,1951,2009.0,2.21,54.5,22.08
TREE_00924,37.670085401787695,-122.00483384810317,Oak,17.32,4.35,Partial,Fungal Infection,0.64,3,0,31.14,30.5,39.4,387.2,15.5,20.8,32.9,Unhealthy,Zone C,2019,,2.27,90.2,76.47
TREE_00925,37.50898772332805,-122.48711520061782,Pine,11.31,4.64,None,Insect Infestation,0.06,10,0,21.06,28.4,63.7,415.9,12.1,16.2,28.9,Moderate,Zone C,1977,,2.8,57.5,17.07
TREE_00926,37.60747094375398,-122.19823559674944,Maple,10.28,5.4,Sparse,Fungal Infection,0.96,1,0,34.26,22.7,44.4,413.0,15.4,19.8,27.1,Unhealthy for Sensitive Groups,Zone C,1986,,3.69,17.1,80.86
TREE_00927,37.716653685864344,-122.17024700917433,Pine,11.43,5.38,Partial,Leaf Spot,0.02,2,0,26.44,17.2,33.0,386.9,13.3,26.2,46.1,Unhealthy,Zone A,2004,2000.0,2.11,26.8,91.17
TREE_00928,37.753391287930455,-122.15597722146293,Elm,17.59,3.76,Partial,None,0.59,2,0,7.41,24.7,85.6,362.2,7.0,24.7,32.8,Unhealthy for Sensitive Groups,Zone A,1950,2012.0,4.33,87.0,90.03
TREE_00929,37.60315507417328,-122.43980621060545,Redwood,7.02,6.03,Full,Insect Infestation,0.78,3,1,22.65,17.1,33.4,399.9,7.4,26.0,35.3,Very Unhealthy,Zone B,1952,2014.0,3.69,88.9,34.66
TREE_00930,37.55574242962913,-122.03073510826343,Maple,6.64,4.04,Partial,Insect Infestation,0.79,10,0,5.51,25.0,73.0,390.5,18.6,57.8,34.1,Unhealthy for Sensitive Groups,Zone A,2020,,3.21,81.6,38.98
TREE_00931,37.83397209471972,-122.40940836047496,Birch,7.74,4.77,Full,None,0.03,1,0,21.73,31.4,50.0,346.9,14.8,15.0,29.4,Good,Zone C,1963,,4.17,58.8,83.81
TREE_00932,37.89376087228142,-122.18862329838008,Elm,10.1,6.03,Full,Bacterial Wilt,0.91,1,0,15.51,35.0,86.0,432.9,10.1,4.2,19.6,Very Unhealthy,Zone D,1997,2002.0,6.6,49.5,69.22
TREE_00933,37.710276072921076,-122.38866196043845,Pine,4.82,4.04,Partial,Fungal Infection,0.92,2,0,24.3,19.0,89.2,402.2,14.8,15.9,21.4,Unhealthy for Sensitive Groups,Zone B,1986,,3.14,34.1,52.67
TREE_00934,37.568671714339324,-122.34639179148937,Pine,10.07,4.15,Full,None,0.56,0,1,21.25,19.2,50.1,393.2,7.6,16.4,33.2,Unhealthy,Zone B,1952,,6.18,59.3,96.06
TREE_00935,37.60892293060775,-122.22677072913594,Cedar,15.08,5.89,Full,None,0.48,7,0,12.84,31.2,65.5,325.4,17.4,24.4,36.0,Good,Zone C,1998,,3.54,71.5,51.63
TREE_00936,37.507356270618985,-122.29140329071771,Pine,10.45,3.71,Partial,None,0.04,5,0,9.87,24.4,76.4,415.9,5.2,17.5,18.0,Good,Zone E,2005,,3.29,63.9,24.38
TREE_00937,37.8657195226242,-122.41988719951175,Oak,9.12,4.42,Sparse,Insect Infestation,0.56,2,0,17.14,33.3,37.4,325.6,13.0,27.3,23.1,Moderate,Zone A,2009,2009.0,3.22,30.3,67.99
TREE_00938,37.547100433156054,-122.41453179878958,Elm,8.15,5.83,None,Root Rot,0.41,0,0,34.61,30.4,72.6,407.1,11.3,12.3,24.6,Moderate,Zone E,1962,,5.23,91.3,51.22
TREE_00939,37.7306065902057,-122.2909276059186,Willow,12.7,8.08,Full,None,0.77,2,0,18.07,29.7,84.4,442.6,12.1,25.8,20.6,Unhealthy,Zone C,2002,2019.0,3.97,45.1,20.39
TREE_00940,37.60962208827488,-122.12135851086225,Willow,7.52,5.91,Full,None,0.4,0,0,27.46,17.0,40.7,483.1,15.3,5.5,9.4,Moderate,Zone E,1999,2017.0,3.55,89.6,15.24
TREE_00941,37.721671201006316,-122.05101767657611,Redwood,15.54,5.71,Partial,None,0.68,2,0,6.71,15.7,80.3,403.3,17.0,19.9,16.9,Unhealthy for Sensitive Groups,Zone C,1968,2007.0,1.02,45.8,35.51
TREE_00942,37.76056815534074,-122.4579361688703,Maple,15.8,5.8,None,Insect Infestation,0.1,3,0,16.37,21.3,36.9,487.9,9.9,11.9,29.6,Moderate,Zone A,1975,,2.3,13.5,97.06
TREE_00943,37.83189672148288,-122.3034480462203,Pine,10.77,3.39,None,Leaf Spot,0.13,5,0,22.41,19.3,64.1,436.6,2.0,16.4,35.6,Good,Zone A,2002,,5.22,76.4,14.58
TREE_00944,37.58256850870424,-122.44987721813857,Cedar,9.97,5.17,Full,Fungal Infection,0.14,6,0,27.54,29.2,50.4,423.6,3.4,-0.5,23.1,Unhealthy,Zone B,2006,2012.0,5.54,92.8,47.14
TREE_00945,37.50439833146339,-122.4917037596837,Cedar,13.09,4.96,Partial,Fungal Infection,0.05,6,0,20.85,24.0,58.3,455.8,10.1,28.6,34.5,Unhealthy for Sensitive Groups,Zone E,1987,,5.67,32.9,32.69
TREE_00946,37.55475425202752,-122.16914065867802,Pine,13.28,5.48,Sparse,Fungal Infection,0.54,8,0,20.46,25.5,48.0,467.0,12.2,16.2,30.9,Good,Zone E,1958,2012.0,2.76,58.8,94.3
TREE_00947,37.86000745673924,-122.1987752790167,Oak,7.58,5.17,None,None,0.79,7,0,27.92,31.3,45.6,441.2,13.9,18.9,37.0,Good,Zone E,1995,,4.7,82.7,37.75
TREE_00948,37.849556031025,-122.41849044309255,Cedar,8.42,5.57,Sparse,Insect Infestation,0.61,3,1,14.4,24.6,74.6,392.9,13.0,24.2,46.5,Very Unhealthy,Zone E,1953,2014.0,2.99,38.9,22.63
TREE_00949,37.738965240868126,-122.38309358345347,Willow,6.03,4.53,Partial,Fungal Infection,0.57,5,0,7.72,25.9,43.4,373.2,16.5,12.7,21.2,Moderate,Zone D,2020,,5.53,35.8,47.82
TREE_00950,37.74020674417346,-122.48814612317774,Maple,11.23,5.09,Sparse,Insect Infestation,0.68,10,0,15.41,31.8,54.5,335.5,21.0,15.1,25.2,Unhealthy for Sensitive Groups,Zone B,1999,,4.98,47.0,15.37
TREE_00951,37.7660146698185,-122.0825263971528,Elm,12.0,3.16,Partial,Bacterial Wilt,0.34,0,1,9.77,23.6,46.5,408.4,12.5,2.3,17.7,Unhealthy,Zone B,2019,,4.2,59.6,37.94
TREE_00952,37.57014851144938,-122.01265470197572,Birch,5.95,4.52,Full,Insect Infestation,0.36,7,1,33.98,16.7,44.3,459.1,13.8,16.8,45.1,Unhealthy,Zone D,1954,,2.8,59.7,73.25
TREE_00953,37.865764778369986,-122.43227023160266,Oak,8.63,7.09,Sparse,Insect Infestation,0.31,5,0,22.33,25.4,67.6,351.9,8.2,35.4,25.6,Unhealthy,Zone E,2019,,5.5,53.8,59.93
TREE_00954,37.66750820995683,-122.38426239311735,Redwood,5.96,5.48,Full,Root Rot,0.71,1,0,18.4,26.6,32.7,346.2,12.3,22.7,32.4,Very Unhealthy,Zone D,1983,2003.0,4.21,83.8,1.09
TREE_00955,37.653255411299796,-122.06579523802654,Redwood,7.3,4.97,Full,Leaf Spot,0.16,7,0,32.36,25.2,77.3,489.9,13.0,5.0,36.5,Unhealthy for Sensitive Groups,Zone E,2014,2012.0,4.8,23.8,49.79
TREE_00956,37.70756708211314,-122.0367681010219,Cedar,11.65,7.84,Partial,Fungal Infection,0.01,3,1,32.01,20.2,62.8,387.2,12.8,24.2,44.3,Good,Zone D,1967,,2.24,17.7,81.31
TREE_00957,37.51878638671002,-122.29018630859659,Elm,7.8,2.96,Sparse,None,0.6,8,0,17.47,19.5,79.7,314.0,8.2,32.8,15.1,Very Unhealthy,Zone B,1976,2004.0,2.59,25.2,56.28
TREE_00958,37.56651334750243,-122.47468876386546,Birch,9.1,3.34,None,None,0.94,3,0,31.24,22.4,42.8,327.2,12.8,9.9,39.4,Moderate,Zone D,1959,,3.45,73.4,47.04
TREE_00959,37.79521344657055,-122.48030408315358,Redwood,5.12,7.57,Sparse,Insect Infestation,0.61,0,1,6.92,18.3,72.6,422.1,12.5,17.8,10.5,Good,Zone C,1951,2013.0,7.52,23.1,41.51
TREE_00960,37.53311946717005,-122.2130250669655,Pine,10.56,5.07,None,None,0.78,6,0,31.57,28.3,55.2,376.2,13.6,18.2,18.6,Unhealthy,Zone E,2010,2007.0,2.45,39.1,53.67
TREE_00961,37.741260843786556,-122.30355244555341,Pine,9.87,4.64,Full,None,0.67,9,0,14.32,27.3,34.6,423.9,10.0,21.2,27.8,Moderate,Zone D,1971,,3.42,89.2,7.4
TREE_00962,37.59813964387253,-122.48567378621117,Maple,7.81,3.2,Full,None,0.5,4,0,21.95,27.6,75.1,388.9,12.1,21.1,29.8,Unhealthy for Sensitive Groups,Zone E,1959,,3.63,22.6,79.97
TREE_00963,37.65571824561679,-122.20837380384373,Birch,9.43,5.67,Partial,Insect Infestation,0.72,9,0,13.09,19.5,75.7,410.6,22.9,26.3,45.2,Unhealthy for Sensitive Groups,Zone A,2008,,5.65,57.5,85.65
TREE_00964,37.61547749470828,-122.49434873170549,Pine,10.54,5.82,None,Fungal Infection,0.82,10,0,34.54,19.9,46.3,488.4,12.3,18.7,30.5,Very Unhealthy,Zone E,1961,2011.0,4.37,55.5,59.23
TREE_00965,37.642269086585976,-122.10631402092537,Redwood,7.56,3.36,Sparse,None,0.22,4,0,7.15,30.7,85.0,390.7,17.4,32.3,29.6,Unhealthy for Sensitive Groups,Zone D,2012,2010.0,2.14,13.1,97.9
TREE_00966,37.787618362073694,-122.34678358864831,Pine,5.57,4.79,Partial,None,0.34,3,0,18.41,28.8,75.8,458.9,19.1,0.8,31.9,Unhealthy,Zone E,1964,2016.0,3.53,20.4,55.52
TREE_00967,37.61884868624927,-122.47987099849539,Willow,15.42,4.5,Partial,Insect Infestation,0.22,5,1,23.63,32.5,48.4,405.7,4.7,8.5,41.4,Very Unhealthy,Zone C,2012,2012.0,3.41,95.5,2.72
TREE_00968,37.72656185611876,-122.20582388950842,Cedar,8.1,5.38,Partial,None,0.45,0,0,23.47,23.1,44.3,342.5,11.0,34.9,22.8,Very Unhealthy,Zone C,2014,,2.19,96.5,46.39
TREE_00969,37.69042016087964,-122.30115779278347,Redwood,9.71,3.32,Sparse,None,0.89,2,0,27.16,25.9,56.4,498.8,11.2,15.2,13.6,Unhealthy,Zone D,1987,,4.01,88.7,39.99
TREE_00970,37.76546846614506,-122.01309979332143,Redwood,13.03,6.88,Partial,Insect Infestation,0.35,10,0,26.73,29.8,47.6,506.1,22.1,25.6,30.9,Unhealthy for Sensitive Groups,Zone D,1955,2008.0,4.32,48.9,19.41
TREE_00971,37.8747318957299,-122.22790066874815,Redwood,20.59,6.37,Sparse,Fungal Infection,0.37,6,0,28.79,34.5,43.0,392.3,21.4,18.7,30.8,Moderate,Zone E,1955,2021.0,5.28,63.4,53.44
TREE_00972,37.7930288388841,-122.3623804094815,Maple,6.27,4.46,Partial,None,0.86,10,0,12.03,34.8,53.9,407.6,4.7,29.5,28.2,Very Unhealthy,Zone B,1987,2013.0,4.6,84.2,45.48
TREE_00973,37.585976151436306,-122.14528056768302,Elm,11.35,4.68,None,Fungal Infection,0.52,7,0,16.12,35.0,31.5,462.0,7.0,24.1,46.4,Moderate,Zone C,1997,2011.0,2.58,70.9,17.12
TREE_00974,37.51247325402451,-122.36425399872864,Redwood,7.88,4.8,Full,None,0.54,8,0,16.46,32.8,54.1,390.8,18.1,46.4,38.5,Moderate,Zone C,1964,,3.8,90.6,50.61
TREE_00975,37.60490561771993,-122.04787835429622,Pine,8.38,3.83,None,Insect Infestation,0.86,0,0,33.68,27.8,43.3,448.3,9.4,19.8,11.0,Moderate,Zone A,2021,,6.11,38.4,83.44
TREE_00976,37.7380311722801,-122.31263901474631,Willow,7.84,4.33,None,None,0.49,3,0,17.28,15.1,45.9,359.3,15.2,15.8,25.0,Moderate,Zone A,1978,,4.47,66.2,50.93
TREE_00977,37.5205703253937,-122.2250657186119,Redwood,6.62,4.59,Partial,None,0.68,1,1,11.66,29.0,35.0,491.7,10.9,32.8,35.0,Unhealthy,Zone B,1951,,4.56,61.0,21.74
TREE_00978,37.698546498880496,-122.47471344808788,Oak,9.88,7.42,None,Insect Infestation,0.09,1,0,23.97,19.8,65.3,418.2,6.6,26.8,34.2,Good,Zone C,2022,2019.0,3.0,98.6,68.59
TREE_00979,37.73873713956675,-122.28693938102388,Oak,5.58,6.42,None,Insect Infestation,0.18,0,0,17.82,16.1,58.3,437.5,18.5,11.9,41.0,Unhealthy for Sensitive Groups,Zone D,1965,,3.26,89.0,86.98
TREE_00980,37.63369755632679,-122.0838182301695,Elm,12.84,6.4,None,None,0.4,4,0,12.5,28.9,75.0,467.8,8.4,28.7,45.1,Good,Zone C,2007,2006.0,3.0,24.9,34.51
TREE_00981,37.80836488149833,-122.09717559731833,Birch,10.17,5.55,Partial,None,0.49,1,1,26.45,30.1,89.2,440.9,11.4,22.0,34.0,Good,Zone D,1983,,4.04,15.3,7.11
TREE_00982,37.54263930125351,-122.38784072057324,Maple,11.27,3.32,Sparse,Bacterial Wilt,0.97,3,0,10.76,28.2,37.2,397.5,6.3,20.9,36.1,Very Unhealthy,Zone D,1992,,4.2,50.2,91.48
TREE_00983,37.53005511269432,-122.38696046449472,Willow,8.6,4.94,Full,Insect Infestation,0.97,8,0,24.0,22.3,46.3,486.0,6.4,24.4,16.2,Good,Zone B,1973,,4.15,59.1,68.22
TREE_00984,37.79127550248144,-122.09134734389337,Cedar,8.9,6.46,Full,None,0.85,10,1,17.92,25.2,70.9,441.8,12.3,28.1,23.2,Good,Zone C,1974,2004.0,5.31,81.1,99.14
TREE_00985,37.69819652648248,-122.03480078991534,Willow,10.86,3.11,Sparse,Insect Infestation,0.32,2,1,14.58,33.7,44.2,391.8,7.2,21.9,24.5,Unhealthy,Zone E,1990,,4.22,24.4,69.45
TREE_00986,37.77536095857109,-122.4523195393635,Oak,6.51,5.95,Sparse,None,0.96,7,1,33.38,29.6,31.8,324.8,19.5,17.4,15.8,Moderate,Zone C,1982,2019.0,1.6,92.8,12.42
TREE_00987,37.6739309354415,-122.27497068028688,Oak,8.93,8.48,None,Fungal Infection,0.69,9,0,14.73,25.1,36.6,399.3,15.4,40.9,37.6,Good,Zone C,1992,,3.47,61.4,43.31
TREE_00988,37.59856081329564,-122.33127286051788,Elm,7.42,6.59,Full,None,0.39,5,1,15.43,26.9,56.0,373.5,16.0,19.6,31.2,Good,Zone A,1966,,3.85,85.8,4.29
